rank,title,writer,poster,url
1위,달러구트 꿈 백화점 2,이미예 저,http://image.yes24.com/Goods/102789938/XL,http://www.yes24.com/Product/Goods/102789938
2위,달러구트 꿈 백화점,이미예 저,http://image.yes24.com/Goods/91065309/XL,http://www.yes24.com/Product/Goods/91065309
3위,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 저/권영주 역,http://image.yes24.com/Goods/102360203/XL,http://www.yes24.com/Product/Goods/102360203
4위,작별하지 않는다,한강 저,http://image.yes24.com/Goods/103495056/XL,http://www.yes24.com/Product/Goods/103495056
5위,양순이네 떡집,김리리 글/김이랑 그림,http://image.yes24.com/Goods/103303100/XL,http://www.yes24.com/Product/Goods/103303100
6위,대한민국 재건축 재개발 지도,정지영(아임해피) 저,http://image.yes24.com/Goods/103401164/XL,http://www.yes24.com/Product/Goods/103401164
7위,흔한남매 과학 탐험대 2 지구와 달,"흔한남매 원저/이재국,이현진 글/김덕영 그림/정현철,김희목,권경아,최진수 기획/정현철 감수",http://image.yes24.com/Goods/103492634/XL,http://www.yes24.com/Product/Goods/103492634
8위,햇빛은 찬란하고 인생은 귀하니까요,장명숙 저,http://image.yes24.com/Goods/103025960/XL,http://www.yes24.com/Product/Goods/103025960
9위,피톨로지 피트니스 영양학,"이호욱,정자람 공저  ",http://image.yes24.com/Goods/103555776/XL,http://www.yes24.com/Product/Goods/103555776
10위,미드나잇 라이브러리,매트 헤이그 저/노진선 역,http://image.yes24.com/Goods/99534783/XL,http://www.yes24.com/Product/Goods/99534783
